enrollment_id,student_id,course_id,term_id,grade,attendance_rate,last_login,assignment_completion
62,16,5,2,D,88.56,2025-04-10,78.72
63,16,4,2,W,92.54,2025-04-07,83.69
64,16,5,2,F,86.20,2025-04-12,87.85
65,16,6,2,W,70.72,2025-04-07,89.59
66,17,10,2,D,70.42,2025-03-15,61.51
67,17,7,2,B,70.33,2025-03-30,55.18
68,17,1,2,C,73.89,2025-03-26,51.58
69,17,1,2,C,43.74,2025-04-02,49.16
70,18,3,2,C,74.60,2025-04-09,74.02
71,18,11,2,D,88.03,2025-04-09,87.11
72,18,6,2,D,87.68,2025-04-11,72.32
73,18,11,2,A,72.83,2025-04-11,73.07
74,18,1,2,F,94.24,2025-04-03,82.59
79,20,15,2,C,88.58,2025-04-12,78.28
80,20,6,2,B,78.19,2025-04-08,90.56
81,20,4,2,W,84.93,2025-04-12,76.66
82,21,15,2,A,86.19,2025-04-12,91.60
83,21,11,2,D,76.94,2025-04-12,93.91
84,21,2,2,D,74.69,2025-04-12,86.49
85,21,9,2,W,91.20,2025-04-08,89.39
86,21,14,2,W,88.51,2025-04-06,85.08
87,22,8,2,D,93.42,2025-04-09,74.85
88,22,9,2,F,85.05,2025-04-03,85.46
89,22,1,2,F,71.77,2025-04-10,71.57
90,22,3,2,D,77.77,2025-04-06,76.76
91,22,7,2,F,85.19,2025-04-07,73.50
92,23,5,2,B,92.55,2025-04-12,94.14
93,23,1,2,B,89.42,2025-04-05,87.34
94,23,5,2,C,83.96,2025-04-12,81.79
95,23,8,2,F,94.22,2025-04-04,92.12
96,23,3,2,D,93.79,2025-04-06,86.35
101,25,7,2,D,66.22,2025-03-31,58.01
102,25,5,2,B,47.26,2025-03-25,44.48
103,25,3,2,F,56.47,2025-03-28,79.00
104,26,3,2,D,51.32,2025-03-19,75.69
105,26,6,2,D,77.95,2025-03-20,63.98
106,26,1,2,D,64.26,2025-03-16,50.96
107,27,1,2,C,76.00,2025-04-05,85.51
108,27,15,2,W,90.66,2025-04-06,83.64
109,27,1,2,A,80.86,2025-04-11,89.70
110,27,1,2,A,85.26,2025-04-05,88.87
111,27,4,2,C,80.41,2025-04-07,93.94
112,28,5,2,A,79.97,2025-03-21,61.96
113,28,11,2,F,59.28,2025-04-02,79.42
114,28,15,2,C,57.92,2025-03-21,42.21
115,28,3,2,W,47.11,2025-03-28,46.09
116,29,5,2,D,44.84,2025-03-19,52.48
117,29,10,2,B,46.01,2025-03-24,54.84
118,29,15,2,A,73.65,2025-03-30,64.29
119,29,15,2,A,51.80,2025-03-16,61.47
120,30,4,2,A,74.64,2025-04-12,80.31
121,30,8,2,B,73.34,2025-04-09,71.93
122,30,15,2,A,87.50,2025-04-03,82.97
123,30,1,2,D,87.99,2025-04-08,84.99
124,30,15,2,B,87.49,2025-04-11,70.32
125,31,5,2,W,73.03,2025-03-28,63.78
126,31,9,2,F,60.20,2025-04-03,67.55
127,31,10,2,C,49.83,2025-03-27,40.24
128,32,12,2,D,47.76,2025-03-17,45.40
129,32,12,2,W,64.10,2025-04-02,47.71
130,32,11,2,D,59.38,2025-03-15,79.86
131,32,4,2,C,69.30,2025-03-17,51.11
132,32,4,2,C,68.89,2025-03-18,67.83
133,33,9,2,W,86.23,2025-04-12,89.65
134,33,10,2,D,71.45,2025-04-09,70.73
135,33,13,2,C,77.22,2025-04-03,80.10
136,33,14,2,C,73.59,2025-04-08,81.53
137,33,12,2,B,83.28,2025-04-06,76.11
138,34,13,2,W,70.71,2025-04-11,77.22
139,34,10,2,W,77.24,2025-04-09,91.51
140,34,4,2,F,91.76,2025-04-04,79.87
141,34,9,2,A,72.39,2025-04-04,84.29
142,35,5,2,W,55.67,2025-04-02,77.73
143,35,5,2,D,61.74,2025-03-17,61.23
144,35,9,2,D,48.37,2025-03-25,53.74
145,35,14,2,W,64.19,2025-03-26,49.95
146,36,5,2,A,79.93,2025-04-04,94.52
147,36,7,2,F,75.68,2025-04-12,81.41
148,36,3,2,C,94.91,2025-04-06,79.69
149,37,14,2,W,50.87,2025-03-21,45.52
150,37,12,2,A,67.79,2025-04-03,51.32
151,37,3,2,C,44.22,2025-03-15,58.13
152,37,7,2,C,46.59,2025-04-02,41.42
153,38,2,2,C,48.65,2025-04-02,76.29
154,38,1,2,A,66.38,2025-03-21,75.07
155,38,1,2,W,50.33,2025-03-23,60.65
156,38,3,2,C,76.92,2025-03-21,48.15
157,38,6,2,C,50.44,2025-03-29,56.94
158,39,8,2,C,81.10,2025-04-03,79.30
159,39,15,2,W,86.99,2025-04-06,88.47
160,39,3,2,B,85.69,2025-04-04,85.87
161,40,3,2,B,66.58,2025-03-29,54.87
162,40,4,2,C,65.31,2025-03-24,60.26
163,40,5,2,F,69.49,2025-03-20,75.90
164,40,8,2,W,59.51,2025-03-27,74.57
165,41,1,2,B,89.94,2025-04-06,94.21
166,41,4,2,A,85.08,2025-04-04,76.62
167,41,11,2,B,91.84,2025-04-09,76.55
168,42,9,2,B,84.31,2025-04-08,90.58
169,42,3,2,F,89.29,2025-04-08,80.27
170,42,8,2,F,87.53,2025-04-06,82.36
171,42,11,2,C,78.72,2025-04-10,86.42
172,42,5,2,C,89.19,2025-04-09,92.92
173,43,14,2,A,51.42,2025-03-31,59.58
174,43,13,2,F,66.75,2025-03-17,76.79
175,43,1,2,F,46.07,2025-03-23,55.63
176,44,10,2,F,74.42,2025-04-01,68.12
177,44,6,2,F,41.90,2025-03-17,66.82
178,44,5,2,D,68.01,2025-03-26,74.08
179,44,7,2,D,70.96,2025-04-03,74.39
180,45,14,2,F,75.87,2025-04-03,91.65
181,45,15,2,C,70.26,2025-04-12,77.22
182,45,1,2,C,79.69,2025-04-04,85.51
183,45,14,2,C,71.63,2025-04-04,72.76
184,46,2,2,F,75.42,2025-04-06,87.96
185,46,8,2,F,70.31,2025-04-09,92.64
186,46,7,2,A,86.33,2025-04-03,85.34
187,47,13,2,F,74.93,2025-03-17,63.82
188,47,2,2,D,56.37,2025-03-21,40.72
189,47,8,2,F,69.91,2025-03-19,47.32
190,47,8,2,C,55.69,2025-03-15,43.14
191,48,2,2,W,73.82,2025-04-11,78.33
192,48,2,2,D,84.75,2025-04-06,73.42
193,48,15,2,D,89.54,2025-04-09,87.38
199,50,6,2,A,71.43,2025-04-06,94.57
200,50,3,2,A,75.90,2025-04-12,93.40
201,50,2,2,W,87.29,2025-04-05,81.38
202,50,14,2,C,71.37,2025-04-06,92.52
203,50,14,2,W,73.26,2025-04-11,76.85
204,51,2,2,W,51.83,2025-04-01,57.59
205,51,1,2,A,43.10,2025-03-16,51.49
206,51,3,2,W,69.23,2025-03-26,53.45
207,51,1,2,C,51.93,2025-03-19,48.53
208,52,3,2,F,67.76,2025-03-27,66.17
209,52,1,2,D,48.58,2025-03-27,59.66
210,52,9,2,F,52.32,2025-03-19,78.61
211,52,8,2,D,68.70,2025-03-23,65.25
212,52,10,2,A,46.03,2025-03-20,66.24
213,53,12,2,A,70.39,2025-04-05,92.35
214,53,2,2,F,84.83,2025-04-09,75.61
215,53,9,2,W,71.97,2025-04-11,72.96
216,53,15,2,D,80.64,2025-04-08,82.70
222,55,3,2,C,94.54,2025-04-06,79.81
223,55,12,2,B,85.83,2025-04-12,91.88
224,55,6,2,F,94.06,2025-04-10,91.97
225,56,3,2,C,50.97,2025-03-29,51.17
226,56,10,2,A,78.21,2025-03-25,58.61
227,56,3,2,A,78.76,2025-04-01,71.43
228,56,1,2,D,43.33,2025-03-22,71.79
229,56,10,2,W,45.31,2025-03-31,52.07
230,57,2,2,C,85.78,2025-04-05,73.16
231,57,8,2,F,75.72,2025-04-12,72.84
232,57,10,2,D,91.62,2025-04-12,77.21
233,57,3,2,A,73.42,2025-04-09,88.86
234,57,5,2,A,85.05,2025-04-11,90.24
235,58,9,2,F,84.25,2025-04-07,79.18
236,58,7,2,W,73.08,2025-04-08,74.50
237,58,9,2,D,85.42,2025-04-11,82.68
238,58,3,2,A,86.14,2025-04-12,75.60
246,61,1,2,C,84.55,2025-04-10,74.79
247,61,5,2,B,93.88,2025-04-03,88.82
248,61,5,2,C,84.53,2025-04-09,85.05
249,61,8,2,B,77.66,2025-04-04,72.43
250,62,4,2,A,79.19,2025-03-24,48.71
251,62,14,2,A,51.47,2025-04-02,69.57
252,62,12,2,B,54.45,2025-03-18,44.73
253,63,10,2,D,92.09,2025-04-08,83.96
254,63,8,2,W,94.68,2025-04-12,90.37
255,63,4,2,W,73.01,2025-04-07,82.49
256,63,12,2,A,88.47,2025-04-04,91.97
257,63,14,2,D,91.07,2025-04-07,94.76
258,64,11,2,B,52.33,2025-04-01,42.84
259,64,15,2,A,43.19,2025-03-16,78.42
260,64,15,2,W,70.90,2025-03-22,62.45
261,64,1,2,W,49.70,2025-03-16,62.23
262,65,14,2,F,80.27,2025-04-10,92.65
263,65,1,2,F,92.37,2025-04-05,71.72
264,65,15,2,D,75.50,2025-04-08,74.63
265,65,4,2,F,71.11,2025-04-09,70.12
266,65,14,2,D,85.40,2025-04-09,94.97
267,66,15,2,W,87.46,2025-04-07,70.45
268,66,14,2,B,73.27,2025-04-04,93.68
269,66,3,2,B,92.35,2025-04-12,81.25
270,67,7,2,C,81.89,2025-04-06,76.18
271,67,15,2,A,85.48,2025-04-12,70.50
272,67,11,2,A,86.02,2025-04-03,81.72
273,68,5,2,W,65.04,2025-03-15,73.19
274,68,14,2,F,58.65,2025-04-01,61.51
275,68,1,2,F,40.34,2025-03-22,40.10
276,68,5,2,B,62.29,2025-03-27,41.36
277,69,13,2,F,78.76,2025-03-20,59.97
278,69,13,2,A,60.27,2025-03-21,51.07
279,69,8,2,A,71.91,2025-03-20,65.36
280,69,3,2,A,46.11,2025-03-20,54.02
281,69,4,2,C,45.05,2025-04-02,73.34
282,70,6,2,W,66.75,2025-03-20,69.63
283,70,15,2,A,61.57,2025-03-19,60.13
284,70,11,2,F,54.11,2025-03-15,74.40
285,70,8,2,D,53.06,2025-03-29,46.08
286,71,7,2,D,66.39,2025-04-03,68.20
287,71,11,2,F,52.78,2025-03-15,73.61
288,71,2,2,D,72.47,2025-03-31,68.36
289,71,11,2,A,70.42,2025-03-22,40.25
290,72,11,2,W,79.24,2025-03-18,62.54
291,72,15,2,B,42.89,2025-03-23,43.71
292,72,9,2,A,61.54,2025-03-18,75.90
293,72,11,2,A,66.43,2025-03-29,75.06
294,72,11,2,F,71.48,2025-04-01,44.45
295,73,9,2,A,73.24,2025-04-08,70.56
296,73,15,2,A,92.23,2025-04-03,70.39
297,73,10,2,D,76.38,2025-04-08,70.62
298,73,7,2,A,86.45,2025-04-10,81.19
299,73,12,2,C,82.49,2025-04-07,90.02
300,74,5,2,A,79.76,2025-04-04,70.72
301,74,10,2,C,70.72,2025-04-03,87.10
302,74,2,2,F,74.91,2025-04-03,77.50
306,76,7,2,A,82.60,2025-04-09,83.37
307,76,13,2,B,79.01,2025-04-11,78.97
308,76,4,2,B,92.57,2025-04-08,81.41
309,76,14,2,A,84.20,2025-04-10,89.26
310,77,1,2,F,51.65,2025-03-23,51.74
311,77,14,2,B,79.57,2025-03-20,52.66
312,77,3,2,B,47.17,2025-03-20,67.70
319,80,14,2,B,46.27,2025-04-01,67.78
320,80,13,2,B,70.09,2025-03-29,50.07
321,80,7,2,W,69.35,2025-03-21,41.43
322,80,12,2,F,68.11,2025-04-01,61.94
323,81,10,2,W,70.67,2025-04-10,83.29
324,81,1,2,B,75.93,2025-04-11,93.56
325,81,13,2,D,71.41,2025-04-05,92.75
326,82,5,2,F,71.90,2025-04-12,80.98
327,82,15,2,C,71.29,2025-04-09,83.89
328,82,3,2,A,92.19,2025-04-11,79.11
329,82,8,2,C,89.21,2025-04-08,72.49
330,82,3,2,W,88.12,2025-04-07,73.06
331,83,10,2,A,63.60,2025-03-21,52.88
332,83,13,2,W,67.93,2025-03-18,78.04
333,83,9,2,F,58.60,2025-04-03,71.95
334,84,11,2,A,52.59,2025-03-19,58.72
335,84,7,2,D,42.89,2025-04-03,79.16
336,84,6,2,W,48.50,2025-03-21,61.27
337,84,4,2,D,68.76,2025-03-24,48.94
338,85,15,2,C,42.73,2025-04-02,46.07
339,85,4,2,C,79.96,2025-03-30,43.31
340,85,11,2,F,66.56,2025-03-23,67.16
341,85,12,2,D,41.64,2025-03-25,78.69
342,85,2,2,B,79.11,2025-03-24,67.48
343,86,14,2,B,94.66,2025-04-04,91.08
344,86,4,2,D,84.99,2025-04-07,78.64
345,86,2,2,D,77.47,2025-04-03,79.30
346,86,10,2,D,91.72,2025-04-11,70.23
347,86,15,2,F,90.67,2025-04-11,74.38
348,87,7,2,A,89.41,2025-04-06,90.08
349,87,6,2,W,91.05,2025-04-06,87.94
350,87,14,2,A,85.22,2025-04-08,76.86
351,87,1,2,B,72.65,2025-04-06,71.07
352,87,8,2,A,72.68,2025-04-04,85.56
353,88,12,2,W,77.52,2025-04-04,82.49
354,88,11,2,W,79.21,2025-04-07,86.29
355,88,14,2,A,81.05,2025-04-10,87.60
356,88,4,2,C,89.00,2025-04-06,72.73
357,89,4,2,W,66.28,2025-03-16,62.67
358,89,9,2,W,57.60,2025-03-18,77.93
359,89,12,2,B,48.35,2025-03-26,69.97
360,89,4,2,D,54.57,2025-03-23,77.05
361,89,6,2,B,60.82,2025-03-16,53.33
362,90,6,2,W,80.94,2025-04-09,80.46
363,90,14,2,D,80.01,2025-04-08,88.13
364,90,2,2,W,78.05,2025-04-04,80.96
365,90,2,2,A,71.64,2025-04-08,85.40
366,90,11,2,A,75.82,2025-04-10,85.84
367,91,10,2,C,71.89,2025-04-03,83.31
368,91,9,2,F,79.41,2025-04-11,76.69
369,91,7,2,D,92.59,2025-04-10,72.17
370,92,3,2,D,53.83,2025-03-29,58.34
371,92,8,2,D,47.66,2025-03-17,78.73
372,92,6,2,W,64.60,2025-03-26,62.89
373,92,1,2,A,42.63,2025-04-02,79.17
374,93,11,2,B,89.63,2025-04-12,94.15
375,93,11,2,A,76.65,2025-04-03,82.56
376,93,9,2,D,87.23,2025-04-07,76.39
377,93,1,2,D,79.31,2025-04-03,87.76
378,94,7,2,W,57.73,2025-03-15,55.29
379,94,5,2,D,53.01,2025-03-24,63.88
380,94,8,2,C,75.16,2025-03-21,43.64
381,94,9,2,B,78.27,2025-03-30,40.27
382,94,2,2,A,61.58,2025-03-15,67.14
387,96,3,2,C,78.03,2025-04-03,75.71
388,96,9,2,D,79.49,2025-04-04,84.84
389,96,9,2,F,73.58,2025-04-06,71.83
390,97,4,2,W,79.62,2025-03-17,51.87
391,97,4,2,W,54.01,2025-03-28,78.78
392,97,13,2,W,55.38,2025-03-29,55.07
393,97,6,2,W,75.18,2025-03-23,67.27
394,97,13,2,D,52.35,2025-03-20,52.64
395,98,10,2,W,78.65,2025-03-30,77.25
396,98,1,2,B,46.76,2025-03-31,46.48
397,98,2,2,D,69.83,2025-03-19,46.83
398,98,7,2,C,68.16,2025-03-17,78.25
399,99,13,2,D,78.63,2025-04-07,79.68
400,99,10,2,W,87.27,2025-04-04,93.74
401,99,5,2,D,90.48,2025-04-05,83.72
402,100,6,2,C,43.64,2025-03-22,55.28
403,100,14,2,W,69.23,2025-03-26,73.45
404,100,3,2,W,48.05,2025-03-16,60.08
405,101,6,2,D,52.90,2025-03-15,60.91
406,101,6,2,W,52.02,2025-03-24,61.71
407,101,12,2,D,47.87,2025-03-22,45.97
408,101,6,2,F,49.10,2025-04-02,54.24
409,102,14,2,F,57.18,2025-03-26,78.71
410,102,10,2,C,46.25,2025-03-31,54.95
411,102,10,2,C,46.47,2025-03-31,73.89
412,102,4,2,B,78.20,2025-03-31,67.54
413,102,2,2,D,77.05,2025-03-16,44.80
414,103,4,2,A,63.04,2025-03-31,62.63
415,103,8,2,A,60.55,2025-04-01,60.68
416,103,4,2,F,68.53,2025-03-22,77.07
417,103,2,2,W,48.99,2025-03-24,41.32
418,103,4,2,B,66.50,2025-03-22,60.79
419,104,12,2,B,41.26,2025-03-25,72.62
420,104,8,2,D,75.45,2025-03-15,70.13
421,104,12,2,B,65.04,2025-03-15,69.12
422,104,7,2,A,61.24,2025-03-23,69.96
423,104,14,2,D,79.10,2025-03-26,69.82
424,105,12,2,B,72.96,2025-03-20,60.86
425,105,6,2,B,68.63,2025-03-22,77.13
426,105,8,2,A,54.87,2025-03-31,68.30
427,105,5,2,D,74.65,2025-03-16,67.77
428,106,9,2,B,80.12,2025-04-10,94.23
429,106,11,2,B,82.33,2025-04-11,73.94
430,106,1,2,C,82.74,2025-04-11,93.59
431,107,4,2,F,94.29,2025-04-10,93.17
432,107,2,2,D,79.35,2025-04-08,92.24
433,107,9,2,B,85.18,2025-04-04,88.35
434,108,15,2,B,58.21,2025-03-23,45.67
435,108,5,2,B,41.93,2025-03-20,42.71
436,108,4,2,B,57.02,2025-03-29,47.04
437,109,14,2,D,79.32,2025-04-08,89.12
438,109,6,2,B,73.10,2025-04-11,87.93
439,109,14,2,W,84.52,2025-04-05,78.16
440,109,15,2,B,81.20,2025-04-05,89.24
441,110,14,2,C,84.86,2025-04-12,86.57
442,110,8,2,D,83.62,2025-04-11,78.36
443,110,9,2,A,71.67,2025-04-07,73.36
444,111,10,2,A,91.49,2025-04-09,83.97
445,111,2,2,A,87.33,2025-04-04,72.87
446,111,9,2,C,78.86,2025-04-07,70.18
447,111,13,2,D,76.28,2025-04-07,77.40
448,112,13,2,W,50.48,2025-03-22,45.05
449,112,11,2,F,45.00,2025-03-19,68.37
450,112,6,2,C,48.03,2025-03-21,78.47
451,113,10,2,F,40.07,2025-03-20,58.54
452,113,3,2,D,44.57,2025-03-23,66.88
453,113,6,2,F,57.86,2025-03-22,65.71
454,114,5,2,C,60.43,2025-03-26,47.02
455,114,14,2,B,64.90,2025-04-01,47.64
456,114,10,2,B,67.00,2025-03-30,42.69
457,114,5,2,W,67.76,2025-03-31,61.87
458,114,10,2,W,62.06,2025-03-23,51.13
459,115,13,2,D,71.07,2025-03-23,41.12
460,115,11,2,F,45.14,2025-03-15,42.78
461,115,9,2,W,40.59,2025-03-26,69.91
462,115,13,2,D,77.60,2025-03-16,60.03
463,116,1,2,W,45.81,2025-03-27,46.07
464,116,4,2,D,41.04,2025-03-17,49.47
465,116,9,2,F,42.60,2025-03-26,50.06
466,116,8,2,C,64.58,2025-03-17,74.24
467,116,10,2,D,70.21,2025-03-18,42.50
468,117,8,2,F,63.42,2025-03-22,40.73
469,117,13,2,F,58.37,2025-04-01,41.64
470,117,4,2,B,56.44,2025-03-24,49.01
471,117,14,2,C,72.68,2025-04-02,46.50
472,117,10,2,C,50.20,2025-03-20,59.59
473,118,1,2,B,58.09,2025-03-28,68.41
474,118,8,2,C,78.82,2025-04-03,78.28
475,118,10,2,F,67.25,2025-03-20,62.68
476,118,7,2,C,70.00,2025-03-18,62.38
480,120,10,2,F,92.37,2025-04-10,93.81
481,120,15,2,F,74.86,2025-04-06,71.10
482,120,11,2,A,92.04,2025-04-07,76.12
483,121,9,2,D,58.27,2025-03-22,46.41
484,121,8,2,W,56.04,2025-04-01,42.57
485,121,6,2,B,42.94,2025-03-31,58.78
486,121,11,2,D,66.43,2025-03-17,60.51
487,121,4,2,B,46.86,2025-03-15,69.92
488,122,12,2,F,63.58,2025-03-25,58.79
489,122,3,2,C,62.12,2025-03-17,65.58
490,122,5,2,F,72.07,2025-03-26,72.37
491,122,1,2,B,79.58,2025-04-02,42.62
492,122,10,2,A,62.96,2025-03-18,71.84
493,123,12,2,D,82.91,2025-04-08,94.14
494,123,1,2,C,89.95,2025-04-06,72.12
495,123,8,2,A,91.53,2025-04-12,75.50
496,123,4,2,B,77.64,2025-04-11,90.82
497,123,5,2,F,79.01,2025-04-06,83.32
498,124,9,2,A,82.59,2025-04-04,81.41
499,124,11,2,D,82.54,2025-04-09,87.33
500,124,7,2,F,80.92,2025-04-10,72.91
501,124,9,2,F,76.91,2025-04-04,72.41
502,125,11,2,A,48.48,2025-03-22,51.10
503,125,10,2,A,70.68,2025-04-03,40.64
504,125,8,2,W,74.32,2025-04-01,64.32
505,126,11,2,B,85.81,2025-04-06,91.85
506,126,15,2,B,74.96,2025-04-11,94.27
507,126,13,2,F,86.29,2025-04-11,93.99
508,127,4,2,W,46.57,2025-03-21,49.79
509,127,6,2,W,63.95,2025-03-26,70.44
510,127,7,2,C,42.50,2025-03-30,67.58
511,128,10,2,F,69.07,2025-03-20,53.82
512,128,7,2,B,77.31,2025-03-17,63.75
513,128,9,2,B,68.01,2025-04-03,45.86
518,130,8,2,A,71.06,2025-04-06,77.93
519,130,7,2,W,83.25,2025-04-09,92.46
520,130,11,2,C,82.65,2025-04-06,70.56
521,130,10,2,C,70.28,2025-04-12,85.78
522,131,2,2,A,75.21,2025-04-12,82.72
523,131,11,2,F,72.82,2025-04-07,80.26
524,131,8,2,C,75.07,2025-04-03,88.48
525,132,15,2,A,92.67,2025-04-08,94.24
526,132,1,2,D,72.59,2025-04-09,77.88
527,132,14,2,B,80.42,2025-04-10,75.55
528,132,1,2,A,87.79,2025-04-12,72.62
529,133,10,2,C,52.56,2025-03-17,42.85
530,133,12,2,C,40.78,2025-03-25,63.75
531,133,9,2,F,69.99,2025-03-26,66.72
532,133,7,2,A,51.72,2025-03-28,58.59
533,133,9,2,W,48.44,2025-03-17,62.05
534,134,14,2,W,73.46,2025-04-01,72.85
535,134,15,2,B,41.95,2025-03-20,43.81
536,134,10,2,F,42.68,2025-04-03,65.19
537,134,13,2,C,72.70,2025-03-19,44.87
538,134,11,2,D,41.25,2025-03-17,62.39
539,135,1,2,B,64.63,2025-04-02,57.54
540,135,8,2,C,54.74,2025-03-28,48.99
541,135,13,2,F,55.83,2025-03-26,63.10
542,136,6,2,W,76.69,2025-04-03,72.20
543,136,5,2,D,92.15,2025-04-08,76.35
544,136,12,2,B,89.31,2025-04-12,75.32
545,137,1,2,A,72.83,2025-04-04,72.38
546,137,3,2,F,70.70,2025-04-11,77.72
547,137,1,2,C,79.34,2025-04-03,78.66
551,139,10,2,W,89.77,2025-04-08,88.92
552,139,13,2,B,91.56,2025-04-06,78.56
553,139,1,2,C,81.15,2025-04-09,87.56
554,139,10,2,A,84.61,2025-04-12,93.83
555,140,13,2,F,71.50,2025-03-24,46.42
556,140,11,2,B,71.87,2025-03-29,69.08
557,140,4,2,D,45.65,2025-04-01,57.84
558,140,8,2,C,79.93,2025-03-27,77.81
559,141,15,2,B,53.13,2025-03-29,66.73
560,141,8,2,F,72.91,2025-03-22,61.94
561,141,3,2,W,55.58,2025-03-20,43.09
562,141,2,2,F,63.25,2025-03-28,73.15
563,141,4,2,W,66.57,2025-03-16,56.85
564,142,13,2,C,43.55,2025-03-24,69.50
565,142,9,2,C,41.30,2025-03-15,68.83
566,142,8,2,D,68.20,2025-03-17,62.36
567,143,9,2,W,88.30,2025-04-07,73.09
568,143,13,2,D,83.64,2025-04-11,74.46
569,143,3,2,F,75.42,2025-04-11,75.32
570,143,8,2,D,94.74,2025-04-11,90.12
571,144,13,2,W,52.77,2025-03-24,62.53
572,144,6,2,F,71.97,2025-03-19,51.19
573,144,15,2,B,69.28,2025-04-03,42.89
574,144,15,2,A,48.45,2025-03-15,73.12
575,144,1,2,D,72.84,2025-03-23,70.88
576,145,10,2,W,74.33,2025-04-08,77.27
577,145,8,2,F,71.99,2025-04-11,91.56
578,145,10,2,B,82.53,2025-04-09,87.47
579,145,2,2,W,73.62,2025-04-08,71.84
580,146,11,2,B,90.22,2025-04-04,75.52
581,146,8,2,B,81.46,2025-04-09,84.41
582,146,15,2,C,76.48,2025-04-10,74.60
583,146,12,2,D,88.98,2025-04-06,90.13
584,146,14,2,B,85.24,2025-04-12,81.62
585,147,4,2,B,76.83,2025-03-27,72.12
586,147,6,2,W,40.85,2025-03-16,60.70
587,147,9,2,B,50.38,2025-03-17,57.63
588,148,10,2,W,74.32,2025-04-04,87.12
589,148,15,2,A,86.79,2025-04-08,88.46
590,148,14,2,F,91.62,2025-04-09,94.53
591,148,9,2,C,71.07,2025-04-06,70.95
592,149,7,2,C,49.07,2025-03-26,50.39
593,149,3,2,W,42.12,2025-03-26,77.50
594,149,7,2,C,78.99,2025-03-16,73.21
595,149,12,2,F,53.11,2025-03-17,75.68
596,150,15,2,C,72.22,2025-04-08,94.53
597,150,4,2,A,89.44,2025-04-04,86.86
598,150,9,2,C,76.97,2025-04-07,75.72
599,150,3,2,A,80.16,2025-04-06,71.16
603,152,15,2,F,72.99,2025-03-30,48.39
604,152,2,2,F,43.65,2025-03-24,74.29
605,152,6,2,C,63.79,2025-03-23,78.10
606,152,1,2,C,54.94,2025-03-20,69.97
607,152,6,2,B,54.18,2025-03-16,74.08
